smiles,occurrence,degree,type,bonds
*c1cc(*)[nH]n1,8251,2,Ring,--
*C1CCCCN1*,8249,2,Ring,--
*c1nc2ccccc2[nH]1,8248,1,Ring,-
*c1ccc2c(c1)OCCO2,8202,1,Ring,-
*CCC(*)=O,8185,2,Linker,--
*OC(C)C,8174,1,Sub,-
*c1cnn(*)c1*,8134,3,Ring,---
*c1nc2ccccc2s1,8059,1,Ring,-
*NS(C)(=O)=O,7938,1,Sub,-
*C1(*)CC1,7800,2,Ring,--
*c1nc(*)c(*)c(*)n1,7603,4,Ring,----
*C12CC3CC(CC(C3)C1)C2,7521,1,Ring,-
*C=N*,7441,2,Linker,--
*n1cncn1,7435,1,Ring,-
*COC,7401,1,Sub,-
*c1nc(*)c2ncn(*)c2n1,7398,3,Ring,---
*SCC(*)=O,7355,2,Linker,--
*c1ncccn1,7258,1,Ring,-
*C1CN(*)CCN1*,7242,3,Ring,---
*C(=O)OC(C)(C)C,7155,1,Sub,-
*N1C(=*)SC(=*)C1=*,7040,4,Ring,-===
*c1nc(*)c(*)o1,6974,3,Ring,---
*c1ccc2[nH]c(*)nc2c1,6803,2,Ring,--
*C(*)C,6727,2,Linker,--
*c1ccc2[nH]cc(*)c2c1,6661,2,Ring,--
*S,6539,1,Sub,-
*=N,6512,1,Sub,=
*C1CCNCC1,6477,1,Ring,-
*C1CC1*,6446,2,Ring,--
*CCOC,6394,1,Sub,-
*C(=O)N(C)C,6378,1,Sub,-
*NC(*)C,6321,2,Linker,--
*c1cnccn1,6313,1,Ring,-
*c1c[nH]cn1,6293,1,Ring,-
*C(=O)NO,6259,1,Sub,-
*c1cc(*)c2ccccc2n1,6243,2,Ring,--
*CNS(*)(=O)=O,6188,2,Linker,--
*c1ccoc1,6187,1,Ring,-
*c1cc(*)ncn1,6042,2,Ring,--
*C1=CN(*)C(=*)NC1=*,6041,4,Ring,--==
*CC=C(C)C,5978,1,Sub,-
*C(=O)NC(*)C,5926,2,Linker,--
*C1CN(*)CC1*,5873,3,Ring,---
*c1ccncc1*,5863,2,Ring,--
*C1CC(*)N(*)C1,5859,3,Ring,---
*C1=NN(*)C(*)C1,5834,3,Ring,---
*c1ccc2c(*)ccnc2c1,5796,2,Ring,--
*N1CCCCCC1,5775,1,Ring,-
*c1nc(*)c2ccccc2n1,5772,2,Ring,--
*c1ccn(*)n1,5668,2,Ring,--
*N=*,5660,2,Linker,-=
*CCC(=O)O,5602,1,Sub,-
*C(=O)NS(*)(=O)=O,5589,2,Linker,--
*c1ccc(*)nn1,5573,2,Ring,--
*COC(C)=O,5570,1,Sub,-
*c1cn(*)cn1,5539,2,Ring,--
*n1cccn1,5507,1,Ring,-
*c1cc(*)c(*)c(*)c1*,5492,5,Ring,-----
*c1cc(*)nc(*)c1,5478,3,Ring,---
*C=C,5463,1,Sub,-
*C=NN*,5305,2,Linker,--
*C(C)CO,5299,1,Sub,-
*CNC*,5292,2,Linker,--
*c1ccsc1*,5279,2,Ring,--
*c1coc(*)n1,5234,2,Ring,--
*CN(C)C,5204,1,Sub,-
*OC(F)F,5189,1,Sub,-
