smiles,occurrence,degree,type,bonds
*n1cncn1,5853,1,Ring,-
*c1ccc2nc(*)sc2c1,5747,2,Ring,--
*N=*,5660,2,Linker,-=
*c1cc(*)n(*)n1,5643,3,Ring,---
*c1cnc(*)s1,5639,2,Ring,--
*CCC(=O)O,5602,1,Sub,-
*C(=O)NS(*)(=O)=O,5589,2,Linker,--
*COC(C)=O,5570,1,Sub,-
*c1nc2ccccc2[nH]1,5564,1,Ring,-
*C=C,5463,1,Sub,-
*c1ccnc(*)n1,5406,2,Ring,--
*c1nccn1*,5382,2,Ring,--
*N1C(=*)SC(=*)C1=*,5352,4,Ring,-===
*C=NN*,5305,2,Linker,--
*C(C)CO,5299,1,Sub,-
*CNC*,5292,2,Linker,--
*c1nc(*)c(*)s1,5232,3,Ring,---
*CN(C)C,5204,1,Sub,-
*OC(F)F,5189,1,Sub,-
*CCCC*,5163,2,Linker,--
*c1nc2ccccc2s1,5138,1,Ring,-
*c1noc(*)n1,5127,2,Ring,--
*CCCNC(*)=O,5099,2,Linker,--
*C=CC(=O)N*,5061,2,Linker,--
*OCC(*)=O,5041,2,Linker,--
*CN(*)C,5025,2,Linker,--
*CNC(=O)N*,4805,2,Linker,--
*C(=C)C,4739,1,Sub,-
*N1CCN(c2ccccc2)CC1,4718,1,Ring,-
*c1ccc(-c2ccc(*)cc2)cc1,4716,2,Ring,--
*N1CCCCCC1,4676,1,Ring,-
*CN(C)C(*)=O,4656,2,Linker,--
*c1ccc2c(*)ccnc2c1,4615,2,Ring,--
*c1ccc2[nH]cc(*)c2c1,4586,2,Ring,--
*OCC(=O)O,4551,1,Sub,-
*CN(C)C*,4491,2,Linker,--
*c1cnc(*)c(*)c1,4479,3,Ring,---
*C1CC(*)N(*)C1,4454,3,Ring,---
*CS(*)(=O)=O,4450,2,Linker,--
*c1ccsc1,4440,1,Ring,-
*c1ncnc2c1ncn2C1OC(*)C(*)C1*,4408,4,Ring,----
*C(=O)N(*)C,4383,2,Linker,--
*OCCC,4352,1,Sub,-
*c1cc(*)c(*)c(*)c1*,4246,5,Ring,-----
*CCCCC,4231,1,Sub,-
*c1nnc(*)n1*,4220,3,Ring,---
*N(CC)CC,4209,1,Sub,-
*C1(*)CC1,4205,2,Ring,--
*C1CC(*)C(*)C(*)O1,4197,4,Ring,----
*c1nnc(*)o1,4180,2,Ring,--
*c1cnccn1,4168,1,Ring,-
*N(*)C,4162,2,Linker,--
*N1CCC(*)(*)CC1,4159,3,Ring,---
*c1ccc(*)c(*)n1,4143,3,Ring,---
*c1nnnn1*,4113,2,Ring,--
*C1CN(*)C1,4110,2,Ring,--
*c1ccsc1*,4099,2,Ring,--
*C(F)F,4099,1,Sub,-
*C1CCNCC1,4084,1,Ring,-
*n1c(=*)c2ccccc2c1=*,4032,3,Ring,-==
*C(*)O,4023,2,Linker,--
*c1nc(*)nc(*)n1,3957,3,Ring,---
*C(C)O,3940,1,Sub,-
*CCN(C)C,3870,1,Sub,-
*c1cnc(*)nc1,3755,2,Ring,--
*CCCN*,3734,2,Linker,--
*C(C)(C)O,3730,1,Sub,-
*N1CCc2ccccc2C1,3679,1,Ring,-
*C1CCCCC1*,3664,2,Ring,--
*c1cncc(*)c1,3631,2,Ring,--
*C(C)CC,3618,1,Sub,-
*c1ccc(-c2ccccc2*)cc1,3561,2,Ring,--
*c1cccc(N2CCN(*)CC2)c1,3554,2,Ring,--
*N=N*,3518,2,Linker,--
*c1ccc2ccccc2n1,3515,1,Ring,-
*S(=O)(=O)N(C)C,3494,1,Sub,-
*c1cc(*)n(*)c1,3437,3,Ring,---
*NC(=O)COC(*)=O,3406,2,Linker,--
*c1cc2ncnc(*)c2cc1*,3375,3,Ring,---
*N1CCNCC1,3346,1,Ring,-
*c1nc(*)c(*)c(*)n1,3330,4,Ring,----
*NCC,3327,1,Sub,-
*CN(*)C(*)=O,3306,3,Linker,---
*COC*,3290,2,Linker,--
*NC(=O)C=C,3289,1,Sub,-
*CC(N)=O,3237,1,Sub,-
*C1CN(*)CCN1*,3207,3,Ring,---
*C(=O)NCC,3176,1,Sub,-
*c1ccc(N2CCN(*)CC2)cc1*,3163,3,Ring,---
*c1ncccn1,3159,1,Ring,-
*CC(=O)OC,3113,1,Sub,-
*OCCCC,3106,1,Sub,-
*S(=O)(=O)O,3102,1,Sub,-
*NC(C)C,3088,1,Sub,-
*CC(O)CO*,3082,2,Linker,--
*C1CCOC1,3075,1,Ring,-
*C1CCS(=*)(=*)C1,3074,3,Ring,-==
*CC#N,3052,1,Sub,-
*C(=O)CC,3036,1,Sub,-
*c1cncn1*,3031,2,Ring,--
*CC(=O)OCC,2968,1,Sub,-
*n1cccn1,2956,1,Ring,-
*c1nc(*)c2ccccc2n1,2934,2,Ring,--
*c1ccncc1*,2921,2,Ring,--
*c1cc(*)[nH]n1,2849,2,Ring,--
*S(=O)(=O)CC,2836,1,Sub,-
*c1ccc2c(c1)nc(*)n2*,2817,3,Ring,---
*c1cc(*)c2ccccc2n1,2816,2,Ring,--
*CC(*)O,2815,2,Linker,--
*c1ccn(*)n1,2812,2,Ring,--
*c1ccoc1,2801,1,Ring,-
*c1ccc2[nH]c(*)cc2c1,2782,2,Ring,--
*N1CCCN(*)CC1,2766,2,Ring,--
*c1ccc(-c2csc(*)n2)cc1,2757,2,Ring,--
*CCNC*,2756,2,Linker,--
*CCCCCC,2701,1,Sub,-
*C=CC(=O)O*,2693,2,Linker,--
*c1cn(*)nc1*,2692,3,Ring,---
*OS(*)(=O)=O,2663,2,Linker,--
*N(C)S(*)(=O)=O,2661,2,Linker,--
*c1cccc2cccnc12,2627,1,Ring,-
*c1ccc2[nH]c(*)nc2c1,2624,2,Ring,--
*CCC(C)C,2611,1,Sub,-
*CC(NC(*)=O)C(=O)O,2571,2,Linker,--
*C(=O)COC(*)=O,2564,2,Linker,--
*c1[nH]c(*)c(*)c1*,2562,4,Ring,----
*c1cnc(*)cn1,2551,2,Ring,--
*C1=C(*)N(*)C(=*)NC1=*,2545,5,Ring,---==
*c1c(*)c(*)c(*)c(*)c1*,2530,6,Ring,------
*CNC(C)=O,2528,1,Sub,-
*CC(F)(F)F,2492,1,Sub,-
*C1(*)CCCCC1,2489,2,Ring,--
*C1=CC(=*)Oc2cc(*)ccc21,2488,3,Ring,-=-
*=C1NC(=*)C(=*)S1,2486,3,Ring,===
*N1CCCC1=*,2485,2,Ring,-=
*C#C,2484,1,Sub,-
*CCN,2469,1,Sub,-
*C1CN(*)CCO1,2462,2,Ring,--
*c1nc(*)c2ncn(*)c2n1,2452,3,Ring,---
*C(=O)N(CC)CC,2451,1,Sub,-
*c1ccc(N2CCOCC2)cc1,2437,1,Ring,-
*CCNC(=O)C*,2430,2,Linker,--
*OCCOC,2396,1,Sub,-
*C=CC(=O)O,2392,1,Sub,-
*c1ccc2cc(*)ccc2c1,2390,2,Ring,--
*c1cccn1*,2389,2,Ring,--
*CCCCO*,2385,2,Linker,--
*C1CCCCCC1,2371,1,Ring,-
*c1ccc(-c2cccc(*)c2)cc1,2366,2,Ring,--
*c1ccc(N2CCN(*)CC2)c(*)c1,2358,3,Ring,---
*C1CN(*)CC1*,2350,3,Ring,---
*c1ccc2[nH]c(=*)c(=*)c2c1,2335,3,Ring,-==
*c1cnc(*)n1*,2324,3,Ring,---
*c1ccc2c(c1)c(*)c(*)n2*,2323,4,Ring,----
*C1(*)CCCC1,2311,2,Ring,--
*NC(=O)O*,2311,2,Linker,--
*c1cn(*)cn1,2310,2,Ring,--
*CCNS(*)(=O)=O,2306,2,Linker,--
